,比赛日期,主队,比分,客队
1585,2007-09-23 00:15,富勒姆,3-3,曼城
1586,2007-09-22 22:00,雷丁,2-1,维冈
1587,2007-09-22 22:00,米德尔,2-2,桑德兰
1588,2007-09-22 22:00,利物浦,0-0,伯明翰
1589,2007-09-22 22:00,阿森纳,5-0,德比郡
1590,2007-10-02 03:00,热刺,4-4,维拉
1591,2007-09-30 23:00,埃弗顿,2-0,米德尔
1592,2007-09-30 00:15,伯明翰,0-1,曼联
1593,2007-09-29 22:00,维冈,0-1,利物浦
1594,2007-09-29 22:00,西汉姆,0-1,阿森纳
1595,2007-09-29 22:00,桑德兰,1-2,布莱克本
1596,2007-09-29 22:00,朴茨茅,7-4,雷丁
1597,2007-09-29 22:00,德比郡,1-1,博尔顿
1598,2007-09-29 22:00,切尔西,0-0,富勒姆
1599,2007-09-29 19:45,曼城,3-1,纽卡斯
1600,2007-10-07 23:10,富勒姆,0-2,朴茨茅
1601,2007-10-07 22:00,曼城,3-1,米德尔
1602,2007-10-07 22:00,纽卡斯,3-2,埃弗顿
1603,2007-10-07 22:00,利物浦,2-2,热刺
1604,2007-10-07 22:00,博尔顿,0-1,切尔西
1605,2007-10-07 22:00,布莱克本,2-1,伯明翰
1606,2007-10-07 21:00,雷丁,1-0,德比郡
1607,2007-10-07 19:00,阿森纳,3-2,桑德兰
1608,2007-10-06 22:00,维拉,1-0,西汉姆
1609,2007-10-06 19:45,曼联,4-0,维冈
1610,2007-10-23 03:00,纽卡斯,3-1,热刺
1611,2007-10-21 23:00,西汉姆,3-1,桑德兰
1612,2007-10-21 00:15,维拉,1-4,曼联
1613,2007-10-20 22:00,维冈,0-2,朴茨茅
1614,2007-10-20 22:00,米德尔,0-2,切尔西
1615,2007-10-20 22:00,曼城,1-0,伯明翰
1616,2007-10-20 22:00,富勒姆,0-0,德比郡
1617,2007-10-20 22:00,布莱克本,4-2,雷丁
1618,2007-10-20 22:00,阿森纳,2-0,博尔顿
1619,2007-10-20 19:45,埃弗顿,1-2,利物浦
1620,2007-10-28 23:59,利物浦,1-1,阿森纳
1621,2007-10-28 23:00,热刺,1-2,布莱克本
1622,2007-10-28 22:00,德比郡,0-2,埃弗顿
1623,2007-10-28 21:30,博尔顿,1-1,维拉
1624,2007-10-28 00:15,朴茨茅,0-0,西汉姆
1625,2007-10-27 22:00,桑德兰,1-1,富勒姆
1626,2007-10-27 22:00,雷丁,2-1,纽卡斯
1627,2007-10-27 22:00,曼联,4-1,米德尔
1628,2007-10-27 22:00,切尔西,6-0,曼城
1629,2007-10-27 22:00,伯明翰,3-2,维冈
1630,2007-11-06 04:00,曼城,1-0,桑德兰
1631,2007-11-04 23:59,西汉姆,1-1,博尔顿
1632,2007-11-04 01:15,布莱克本,0-0,利物浦
1633,2007-11-03 23:00,富勒姆,3-1,雷丁
1634,2007-11-03 23:00,维冈,0-2,切尔西
1635,2007-11-03 23:00,纽卡斯,1-4,朴茨茅
1636,2007-11-03 23:00,米德尔,1-1,热刺
1637,2007-11-03 23:00,埃弗顿,3-1,伯明翰
1638,2007-11-03 23:00,维拉,2-0,德比郡
1639,2007-11-03 20:50,阿森纳,2-2,曼联
1640,2007-11-13 04:05,雷丁,1-3,阿森纳
1641,2007-11-11 23:59,朴茨茅,0-0,曼城
1642,2007-11-11 23:00,热刺,4-0,维冈
1643,2007-11-11 23:00,曼联,2-0,布莱克本
1644,2007-11-11 23:00,博尔顿,0-0,米德尔
1645,2007-11-11 22:00,切尔西,1-1,埃弗顿
1646,2007-11-11 21:00,伯明翰,1-2,维拉
1647,2007-11-11 01:15,利物浦,2-0,富勒姆
1648,2007-11-10 23:00,德比郡,0-5,西汉姆
1649,2007-11-10 20:45,桑德兰,1-1,纽卡斯
1650,2007-11-25 23:59,富勒姆,2-2,布莱克本
1651,2007-11-25 21:30,西汉姆,1-1,热刺
1652,2007-11-25 01:15,德比郡,0-2,切尔西
1653,2007-11-24 23:00,米德尔,0-3,维拉
1654,2007-11-24 23:00,曼城,2-1,雷丁
1655,2007-11-24 23:00,埃弗顿,7-1,桑德兰
1656,2007-11-24 23:00,博尔顿,1-0,曼联
1657,2007-11-24 23:00,伯明翰,0-2,朴茨茅
1658,2007-11-24 23:00,阿森纳,2-0,维冈
1659,2007-11-24 20:45,纽卡斯,0-3,利物浦
1660,2007-12-04 04:00,曼联,2-0,富勒姆
1661,2007-12-02 23:59,热刺,2-3,伯明翰
1662,2007-12-02 23:00,利物浦,4-0,博尔顿
1663,2007-12-02 01:15,维拉,1-2,阿森纳
1664,2007-12-01 23:00,维冈,1-1,曼城
1665,2007-12-01 23:00,桑德兰,1-0,德比郡
1666,2007-12-01 23:00,雷丁,1-1,米德尔
1667,2007-12-01 23:00,朴茨茅,0-0,埃弗顿
1668,2007-12-01 23:00,布莱克本,3-1,纽卡斯
1669,2007-12-01 20:45,切尔西,1-0,西汉姆
1670,2007-12-09 23:59,布莱克本,0-1,西汉姆
1671,2007-12-09 23:00,热刺,2-1,曼城
1672,2007-12-09 23:00,博尔顿,4-1,维冈
1673,2007-12-09 21:30,米德尔,2-1,阿森纳
1674,2007-12-09 01:15,雷丁,3-1,利物浦
1675,2007-12-08 23:00,纽卡斯,2-1,伯明翰
1676,2007-12-08 23:00,曼联,4-1,德比郡
1677,2007-12-08 23:00,埃弗顿,3-0,富勒姆
1678,2007-12-08 23:00,切尔西,2-0,桑德兰
1679,2007-12-08 20:45,维拉,1-3,朴茨茅
1680,2007-12-16 23:59,阿森纳,1-0,切尔西
1681,2007-12-16 21:30,利物浦,0-1,曼联
1682,2007-12-16 01:15,富勒姆,0-1,纽卡斯
1683,2007-12-15 23:00,维冈,5-3,布莱克本
1684,2007-12-15 23:00,西汉姆,0-2,埃弗顿
1685,2007-12-15 23:00,桑德兰,1-1,维拉
1686,2007-12-15 23:00,朴茨茅,0-1,热刺
1687,2007-12-15 23:00,曼城,4-2,博尔顿
1688,2007-12-15 23:00,德比郡,0-1,米德尔
1689,2007-12-15 23:00,伯明翰,1-1,雷丁
1690,2007-12-24 00:10,布莱克本,0-1,切尔西
1691,2007-12-23 22:00,纽卡斯,2-2,德比郡
1692,2007-12-23 20:00,曼联,2-1,埃弗顿
1693,2007-12-22 23:00,雷丁,2-1,桑德兰
1694,2007-12-22 23:00,米德尔,1-2,西汉姆
1695,2007-12-22 23:00,利物浦,4-1,朴茨茅
1696,2007-12-22 23:00,富勒姆,1-1,维冈
1697,2007-12-22 23:00,博尔顿,3-0,伯明翰
1698,2007-12-22 23:00,维拉,1-1,曼城
1699,2007-12-22 20:45,阿森纳,2-1,热刺
1700,2007-12-28 03:50,曼城,2-2,布莱克本
1701,2007-12-27 03:45,朴茨茅,0-0,阿森纳
1702,2007-12-26 23:00,维冈,1-0,纽卡斯
1703,2007-12-26 23:00,桑德兰,0-4,曼联
1704,2007-12-26 23:00,埃弗顿,2-0,博尔顿
1705,2007-12-26 23:00,德比郡,1-2,利物浦
1706,2007-12-26 23:00,伯明翰,3-0,米德尔
1707,2007-12-26 21:00,西汉姆,1-1,雷丁
1708,2007-12-26 21:00,热刺,5-1,富勒姆
1709,2007-12-26 21:00,切尔西,4-4,维拉
1710,2007-12-30 23:59,曼城,0-0,利物浦
1711,2007-12-30 21:30,德比郡,1-2,布莱克本
1712,2007-12-30 01:15,埃弗顿,1-4,阿森纳
1713,2007-12-29 23:00,维冈,1-2,维拉
1714,2007-12-29 23:00,西汉姆,2-1,曼联
1715,2007-12-29 23:00,热刺,6-4,雷丁
1716,2007-12-29 23:00,桑德兰,3-1,博尔顿
1717,2007-12-29 23:00,朴茨茅,0-1,米德尔
1718,2007-12-29 23:00,切尔西,2-1,纽卡斯
1719,2007-12-29 23:00,伯明翰,1-1,富勒姆
1720,2008-01-03 04:00,利物浦,1-1,维冈
1721,2008-01-03 04:00,博尔顿,1-0,德比郡
1722,2008-01-03 04:00,布莱克本,1-0,桑德兰
1723,2008-01-03 03:45,纽卡斯,0-2,曼城
1724,2008-01-02 01:20,维拉,2-1,热刺
1725,2008-01-01 23:00,米德尔,0-2,埃弗顿
1726,2008-01-01 23:00,雷丁,0-2,朴茨茅
1727,2008-01-01 23:00,曼联,1-0,伯明翰
1728,2008-01-01 23:00,阿森纳,2-0,西汉姆
1729,2008-01-01 20:45,富勒姆,1-2,切尔西
1730,2008-01-13 23:59,博尔顿,1-2,布莱克本
1731,2008-01-13 21:30,桑德兰,2-0,朴茨茅
1732,2008-01-13 01:15,曼联,6-0,纽卡斯
1733,2008-01-12 23:00,西汉姆,2-1,富勒姆
1734,2008-01-12 23:00,米德尔,1-1,利物浦
1735,2008-01-12 23:00,埃弗顿,1-0,曼城
1736,2008-01-12 23:00,德比郡,0-1,维冈
1737,2008-01-12 23:00,切尔西,2-0,热刺
1738,2008-01-12 23:00,维拉,3-1,雷丁
1739,2008-01-12 23:00,阿森纳,1-1,伯明翰
1740,2008-01-22 04:00,利物浦,2-2,维拉
1741,2008-01-20 23:59,曼城,1-1,西汉姆
1742,2008-01-20 21:30,维冈,1-2,埃弗顿
1743,2008-01-20 01:15,纽卡斯,0-0,博尔顿
1744,2008-01-19 23:00,热刺,2-0,桑德兰
1745,2008-01-19 23:00,雷丁,0-2,曼联
1746,2008-01-19 23:00,朴茨茅,3-1,德比郡
1747,2008-01-19 23:00,富勒姆,0-3,阿森纳
1748,2008-01-19 23:00,布莱克本,1-1,米德尔
1749,2008-01-19 23:00,伯明翰,0-1,切尔西
1750,2008-01-31 04:00,曼联,2-0,朴茨茅
1751,2008-01-31 04:00,埃弗顿,0-0,热刺
1752,2008-01-31 03:45,切尔西,1-0,雷丁
1753,2008-01-31 03:45,西汉姆,1-0,利物浦
1754,2008-01-31 03:45,德比郡,1-1,曼城
1755,2008-01-30 04:00,桑德兰,2-0,伯明翰
1756,2008-01-30 04:00,米德尔,1-0,维冈
1757,2008-01-30 04:00,博尔顿,0-0,富勒姆
1758,2008-01-30 03:45,阿森纳,3-0,纽卡斯
1759,2008-01-26 23:00,维拉,1-1,布莱克本
1760,2008-02-03 23:59,富勒姆,2-1,维拉
1761,2008-02-03 21:30,纽卡斯,1-1,米德尔
1762,2008-02-03 01:15,利物浦,3-0,桑德兰
1763,2008-02-02 23:00,维冈,1-0,西汉姆
1764,2008-02-02 23:00,热刺,1-1,曼联
1765,2008-02-02 23:00,雷丁,0-2,博尔顿
1766,2008-02-02 23:00,朴茨茅,1-1,切尔西
1767,2008-02-02 23:00,布莱克本,0-0,埃弗顿
1768,2008-02-02 23:00,伯明翰,1-1,德比郡
1769,2008-02-02 20:45,曼城,1-3,阿森纳
1770,2008-02-12 04:00,阿森纳,2-0,布莱克本
1771,2008-02-10 23:59,切尔西,0-0,利物浦
1772,2008-02-10 21:30,曼联,1-2,曼城
1773,2008-02-09 23:00,西汉姆,1-1,伯明翰
1774,2008-02-09 23:00,桑德兰,2-0,维冈
1775,2008-02-09 23:00,米德尔,1-0,富勒姆
1776,2008-02-09 23:00,埃弗顿,1-0,雷丁
1777,2008-02-09 23:00,德比郡,0-3,热刺
1778,2008-02-09 23:00,博尔顿,0-1,朴茨茅
1779,2008-02-09 20:45,维拉,4-1,纽卡斯
1780,2008-03-20 04:00,热刺,4-4,切尔西
1781,2008-02-26 04:00,曼城,0-2,埃弗顿
1782,2008-02-24 23:00,布莱克本,4-1,博尔顿
1783,2008-02-24 20:30,雷丁,1-2,维拉
1784,2008-02-24 01:15,纽卡斯,1-5,曼联
1785,2008-02-23 23:00,维冈,2-0,德比郡
1786,2008-02-23 23:00,朴茨茅,1-0,桑德兰
1787,2008-02-23 23:00,利物浦,3-2,米德尔
1788,2008-02-23 23:00,富勒姆,0-1,西汉姆
1789,2008-02-23 20:45,伯明翰,2-2,阿森纳
1790,2008-03-02 23:59,埃弗顿,3-1,朴茨茅
1791,2008-03-02 21:30,博尔顿,1-3,利物浦
1792,2008-03-02 01:15,曼城,0-0,维冈
1793,2008-03-01 23:00,西汉姆,0-4,切尔西
1794,2008-03-01 23:00,纽卡斯,0-1,布莱克本
1795,2008-03-01 23:00,米德尔,0-1,雷丁
1796,2008-03-01 23:00,富勒姆,0-3,曼联
1797,2008-03-01 23:00,德比郡,0-0,桑德兰
1798,2008-03-01 23:00,伯明翰,4-1,热刺
1799,2008-03-01 23:00,阿森纳,1-1,维拉
1800,2008-03-20 04:00,曼联,2-0,博尔顿
1801,2008-03-13 04:00,切尔西,6-1,德比郡
1802,2008-03-13 03:45,朴茨茅,4-2,伯明翰
1803,2008-03-13 03:45,维拉,1-1,米德尔
1804,2008-03-09 23:59,维冈,0-0,阿森纳
1805,2008-03-09 23:00,热刺,4-0,西汉姆
1806,2008-03-09 23:00,桑德兰,0-1,埃弗顿
1807,2008-03-08 23:00,雷丁,2-0,曼城
1808,2008-03-08 23:00,利物浦,3-0,纽卡斯
1809,2008-03-08 23:00,布莱克本,1-1,富勒姆
1810,2008-03-18 04:00,伯明翰,1-1,纽卡斯
1811,2008-03-16 23:59,曼城,2-1,热刺
1812,2008-03-16 23:00,维冈,1-0,博尔顿
1813,2008-03-16 21:30,富勒姆,1-0,埃弗顿
1814,2008-03-16 01:15,阿森纳,1-1,米德尔
1815,2008-03-15 23:00,西汉姆,2-1,布莱克本
1816,2008-03-15 23:00,桑德兰,0-1,切尔西
1817,2008-03-15 23:00,朴茨茅,2-0,维拉
1818,2008-03-15 23:00,利物浦,2-1,雷丁
1819,2008-03-15 23:00,德比郡,0-1,曼联
1820,2008-03-23 23:59,切尔西,2-1,阿森纳
1821,2008-03-23 21:30,曼联,3-0,利物浦
1822,2008-03-23 01:15,埃弗顿,1-1,西汉姆
1823,2008-03-22 23:00,雷丁,2-1,伯明翰
1824,2008-03-22 23:00,纽卡斯,2-0,富勒姆
1825,2008-03-22 23:00,米德尔,1-0,德比郡
1826,2008-03-22 23:00,博尔顿,0-0,曼城
1827,2008-03-22 23:00,布莱克本,3-1,维冈
1828,2008-03-22 23:00,维拉,0-1,桑德兰
1829,2008-03-22 20:45,热刺,2-0,朴茨茅
1830,2008-03-30 23:00,利物浦,1-0,埃弗顿
1831,2008-03-30 22:00,热刺,1-4,纽卡斯
1832,2008-03-30 20:30,切尔西,1-0,米德尔
1833,2008-03-30 01:15,曼联,4-0,维拉
1834,2008-03-29 23:00,桑德兰,2-1,西汉姆
1835,2008-03-29 23:00,雷丁,0-0,布莱克本
1836,2008-03-29 23:00,朴茨茅,2-0,维冈
1837,2008-03-29 23:00,德比郡,2-2,富勒姆
1838,2008-03-29 23:00,博尔顿,2-3,阿森纳
1839,2008-03-29 23:00,伯明翰,3-1,曼城
1840,2008-04-09 02:45,西汉姆,0-1,朴茨茅
1841,2008-04-06 22:00,埃弗顿,1-0,德比郡
1842,2008-04-06 20:30,米德尔,2-2,曼联
1843,2008-04-05 22:00,维冈,2-0,伯明翰
1844,2008-04-05 22:00,纽卡斯,3-0,雷丁
1845,2008-04-05 22:00,曼城,0-2,切尔西
1846,2008-04-05 22:00,富勒姆,1-3,桑德兰
1847,2008-04-05 22:00,布莱克本,1-1,热刺
1848,2008-04-05 22:00,维拉,4-0,博尔顿
1849,2008-04-05 19:45,阿森纳,1-1,利物浦
1850,2008-04-15 03:00,切尔西,1-1,维冈
1851,2008-04-13 23:00,曼联,2-1,阿森纳
1852,2008-04-13 20:30,利物浦,3-1,布莱克本
1853,2008-04-13 00:15,朴茨茅,0-0,纽卡斯
1854,2008-04-12 22:00,热刺,1-1,米德尔
1855,2008-04-12 22:00,桑德兰,1-2,曼城
1856,2008-04-12 22:00,雷丁,0-2,富勒姆
1857,2008-04-12 22:00,德比郡,0-6,维拉
1858,2008-04-12 22:00,博尔顿,1-0,西汉姆
1859,2008-04-12 22:00,伯明翰,1-1,埃弗顿
1860,2008-04-20 23:00,曼城,3-1,朴茨茅
1861,2008-04-20 20:30,纽卡斯,2-0,桑德兰
1862,2008-04-20 19:00,维拉,5-1,伯明翰
1863,2008-04-20 00:15,布莱克本,1-1,曼联
1864,2008-04-19 22:00,维冈,1-1,热刺
1865,2008-04-19 22:00,西汉姆,2-1,德比郡
1866,2008-04-19 22:00,米德尔,0-1,博尔顿
1867,2008-04-19 22:00,富勒姆,0-2,利物浦
1868,2008-04-19 19:45,阿森纳,2-0,雷丁
1869,2008-04-18 03:05,埃弗顿,0-1,切尔西
1870,2008-04-29 03:00,德比郡,2-6,阿森纳
1871,2008-04-27 23:00,埃弗顿,2-2,维拉
1872,2008-04-27 20:30,朴茨茅,0-1,布莱克本
1873,2008-04-26 22:00,维冈,0-0,雷丁
1874,2008-04-26 22:00,西汉姆,2-2,纽卡斯
1875,2008-04-26 22:00,热刺,1-1,博尔顿
1876,2008-04-26 22:00,桑德兰,3-2,米德尔
1877,2008-04-26 22:00,曼城,2-3,富勒姆
1878,2008-04-26 22:00,伯明翰,2-2,利物浦
1879,2008-04-26 19:55,切尔西,2-1,曼联
1880,2008-05-05 23:00,纽卡斯,0-2,切尔西
1881,2008-05-04 23:00,利物浦,1-0,曼城
1882,2008-05-04 20:30,阿森纳,1-0,埃弗顿
1883,2008-05-04 00:15,博尔顿,2-0,桑德兰
1884,2008-05-03 22:00,布莱克本,3-1,德比郡
1885,2008-05-03 22:00,富勒姆,2-0,伯明翰
1886,2008-05-03 22:00,米德尔,2-0,朴茨茅
1887,2008-05-03 22:00,雷丁,0-1,热刺
1888,2008-05-03 22:00,维拉,0-2,维冈
1889,2008-05-03 19:45,曼联,4-1,西汉姆
1890,2008-05-11 22:00,米德尔,8-1,曼城
1891,2008-05-11 22:00,维冈,0-2,曼联
1892,2008-05-11 22:00,朴茨茅,0-1,富勒姆
1893,2008-05-11 22:00,桑德兰,0-1,阿森纳
1894,2008-05-11 22:00,切尔西,1-1,博尔顿
1895,2008-05-11 22:00,热刺,0-2,利物浦
1896,2008-05-11 22:00,伯明翰,4-1,布莱克本
1897,2008-05-11 22:00,德比郡,0-4,雷丁
1898,2008-05-11 22:00,埃弗顿,3-1,纽卡斯
1899,2008-05-11 22:00,西汉姆,2-2,维拉
1900,2008-08-17 23:00,曼联,1-1,纽卡斯
1901,2008-08-17 22:00,维拉,4-2,曼城
1902,2008-08-17 20:30,切尔西,4-0,朴茨茅
1903,2008-08-17 00:30,桑德兰,0-1,利物浦
1904,2008-08-16 22:00,西汉姆,2-1,维冈
1905,2008-08-16 22:00,米德尔,2-1,热刺
1906,2008-08-16 22:00,赫尔城,2-1,富勒姆
1907,2008-08-16 22:00,埃弗顿,2-3,布莱克本
1908,2008-08-16 22:00,博尔顿,3-1,斯托克
1909,2008-08-16 19:45,阿森纳,1-0,西布罗姆
1910,2008-08-26 03:00,朴茨茅,0-1,曼联
1911,2008-08-24 23:00,曼城,3-0,西汉姆
1912,2008-08-24 20:30,维冈,0-1,切尔西
1913,2008-08-24 00:30,富勒姆,1-0,阿森纳
1914,2008-08-23 22:00,西布罗姆,1-2,埃弗顿
1915,2008-08-23 22:00,热刺,1-2,桑德兰
1916,2008-08-23 22:00,斯托克,3-2,维拉
1917,2008-08-23 22:00,纽卡斯,1-0,博尔顿
1918,2008-08-23 22:00,利物浦,2-1,米德尔
1919,2008-08-23 22:00,布莱克本,1-1,赫尔城
1920,2009-02-19 04:00,曼联,3-0,富勒姆
1921,2008-08-31 23:00,维拉,0-0,利物浦
1922,2008-08-31 22:00,桑德兰,0-3,曼城
1923,2008-08-31 20:30,切尔西,1-1,热刺
1924,2008-08-31 00:30,阿森纳,3-0,纽卡斯
1925,2008-08-30 22:00,赫尔城,0-5,维冈
1926,2008-08-30 22:00,埃弗顿,0-3,朴茨茅
1927,2008-08-30 22:00,博尔顿,0-0,西布罗姆
1928,2008-08-30 22:00,西汉姆,4-1,布莱克本
1929,2008-08-30 22:00,米德尔,2-1,斯托克
1930,2008-09-16 03:00,热刺,1-2,维拉
1931,2008-09-14 20:30,斯托克,2-3,埃弗顿
1932,2008-09-14 00:30,曼城,1-3,切尔西
1933,2008-09-13 22:00,维冈,1-1,桑德兰
1934,2008-09-13 22:00,西布罗姆,3-2,西汉姆
1935,2008-09-13 22:00,朴茨茅,2-1,米德尔
1936,2008-09-13 22:00,纽卡斯,1-2,赫尔城
1937,2008-09-13 22:00,富勒姆,2-1,博尔顿
1938,2008-09-13 22:00,布莱克本,0-4,阿森纳
1939,2008-09-13 19:45,利物浦,2-1,曼联
1940,2008-09-21 22:00,热刺,0-0,维冈
1941,2008-09-21 22:00,曼城,6-0,朴茨茅
1942,2008-09-21 22:00,赫尔城,2-2,埃弗顿
1943,2008-09-21 21:00,切尔西,1-1,曼联
1944,2008-09-21 19:00,西布罗姆,1-2,维拉
1945,2008-09-21 00:30,博尔顿,1-3,阿森纳
1946,2008-09-20 22:00,西汉姆,3-1,纽卡斯
1947,2008-09-20 22:00,利物浦,0-0,斯托克
1948,2008-09-20 22:00,布莱克本,1-0,富勒姆
1949,2008-09-20 19:45,桑德兰,2-0,米德尔
1950,2008-09-28 23:00,维冈,2-1,曼城
1951,2008-09-28 20:30,朴茨茅,2-0,热刺
1952,2008-09-28 00:30,阿森纳,1-2,赫尔城
1953,2008-09-27 22:00,斯托克,0-2,切尔西
1954,2008-09-27 22:00,纽卡斯,1-2,布莱克本
1955,2008-09-27 22:00,米德尔,0-1,西布罗姆
1956,2008-09-27 22:00,曼联,2-0,博尔顿
1957,2008-09-27 22:00,富勒姆,1-2,西汉姆
1958,2008-09-27 22:00,维拉,2-1,桑德兰
1959,2008-09-27 19:45,埃弗顿,0-2,利物浦
1960,2008-10-05 23:00,埃弗顿,2-2,纽卡斯
1961,2008-10-05 22:00,热刺,0-1,赫尔城
1962,2008-10-05 22:00,朴茨茅,2-1,斯托克
1963,2008-10-05 22:00,曼城,2-3,利物浦
1964,2008-10-05 22:00,切尔西,2-0,维拉
1965,2008-10-05 20:30,西汉姆,1-3,博尔顿
1966,2008-10-05 00:30,布莱克本,0-2,曼联
1967,2008-10-04 22:00,维冈,0-1,米德尔
1968,2008-10-04 22:00,西布罗姆,1-0,富勒姆
1969,2008-10-04 22:00,桑德兰,1-1,阿森纳
1970,2008-10-21 03:00,纽卡斯,2-2,曼城
1971,2008-10-19 23:00,斯托克,2-1,热刺
1972,2008-10-19 22:00,赫尔城,1-0,西汉姆
1973,2008-10-19 00:30,曼联,4-0,西布罗姆
1974,2008-10-18 22:00,利物浦,3-2,维冈
1975,2008-10-18 22:00,富勒姆,0-0,桑德兰
1976,2008-10-18 22:00,博尔顿,0-0,布莱克本
1977,2008-10-18 22:00,维拉,0-0,朴茨茅
1978,2008-10-18 22:00,阿森纳,3-1,埃弗顿
1979,2008-10-18 19:45,米德尔,0-5,切尔西
1980,2008-10-27 01:00,朴茨茅,1-1,富勒姆
1981,2008-10-26 23:59,西汉姆,0-2,阿森纳
1982,2008-10-26 23:00,维冈,0-4,维拉
1983,2008-10-26 23:00,热刺,2-0,博尔顿
1984,2008-10-26 23:00,曼城,3-0,斯托克
1985,2008-10-26 21:35,切尔西,0-1,利物浦
1986,2008-10-26 00:30,布莱克本,1-1,米德尔
1987,2008-10-25 22:00,西布罗姆,0-3,赫尔城
1988,2008-10-25 19:45,桑德兰,2-1,纽卡斯
1989,2008-10-25 19:00,埃弗顿,1-1,曼联
1990,2008-10-30 04:00,利物浦,1-0,朴茨茅
1991,2008-10-30 04:00,米德尔,2-0,曼城
1992,2008-10-30 04:00,曼联,2-0,西汉姆
1993,2008-10-30 04:00,博尔顿,0-1,埃弗顿
1994,2008-10-30 04:00,阿森纳,4-4,热刺
1995,2008-10-30 03:45,富勒姆,2-0,维冈
1996,2008-10-30 03:45,维拉,3-2,布莱克本
1997,2008-10-30 03:45,斯托克,1-0,桑德兰
1998,2008-10-30 03:45,赫尔城,0-3,切尔西
1999,2008-10-29 03:45,纽卡斯,2-1,西布罗姆
2000,2008-11-04 04:00,纽卡斯,2-0,维拉
2001,2008-11-02 23:59,博尔顿,2-0,曼城
2002,2008-11-02 01:30,热刺,2-1,利物浦
2003,2008-11-01 23:00,西布罗姆,2-2,布莱克本
2004,2008-11-01 23:00,斯托克,2-1,阿森纳
2005,2008-11-01 23:00,朴茨茅,1-2,维冈
2006,2008-11-01 23:00,米德尔,1-1,西汉姆
2007,2008-11-01 23:00,曼联,4-3,赫尔城
2008,2008-11-01 23:00,切尔西,5-0,桑德兰
2009,2008-11-01 20:45,埃弗顿,1-0,富勒姆
2010,2008-11-09 23:59,富勒姆,2-1,纽卡斯
2011,2008-11-09 23:00,曼城,1-2,热刺
2012,2008-11-09 23:00,维拉,1-2,米德尔
2013,2008-11-09 21:30,布莱克本,0-2,切尔西
2014,2008-11-09 01:30,利物浦,3-0,西布罗姆
2015,2008-11-08 23:00,西汉姆,1-3,埃弗顿
2016,2008-11-08 23:00,桑德兰,1-2,朴茨茅
2017,2008-11-08 23:00,赫尔城,0-1,博尔顿
2018,2008-11-08 20:45,维冈,0-0,斯托克
2019,2008-11-08 20:45,阿森纳,2-1,曼联
2020,2008-11-16 23:59,赫尔城,2-2,曼城
2021,2008-11-16 21:30,埃弗顿,1-1,米德尔
2022,2008-11-16 01:30,西布罗姆,0-3,切尔西
2023,2008-11-15 23:00,西汉姆,0-0,朴茨茅
2024,2008-11-15 23:00,纽卡斯,2-2,维冈
2025,2008-11-15 23:00,曼联,5-0,斯托克
2026,2008-11-15 23:00,富勒姆,2-1,热刺
2027,2008-11-15 23:00,布莱克本,1-2,桑德兰
2028,2008-11-15 23:00,阿森纳,0-2,维拉
2029,2008-11-15 20:45,博尔顿,0-2,利物浦
2030,2008-11-25 04:00,维冈,1-0,埃弗顿
2031,2008-11-23 23:59,桑德兰,0-1,西汉姆
2032,2008-11-23 21:30,热刺,1-0,布莱克本
2033,2008-11-23 01:30,维拉,0-0,曼联
2034,2008-11-22 23:00,斯托克,1-0,西布罗姆
2035,2008-11-22 23:00,朴茨茅,2-2,赫尔城
2036,2008-11-22 23:00,米德尔,1-3,博尔顿
2037,2008-11-22 23:00,曼城,3-0,阿森纳
2038,2008-11-22 23:00,利物浦,0-0,富勒姆
2039,2008-11-22 23:00,切尔西,0-0,纽卡斯
2040,2008-12-02 04:00,利物浦,0-0,西汉姆
2041,2008-11-30 23:59,切尔西,1-2,阿森纳
2042,2008-11-30 23:00,热刺,0-1,埃弗顿
2043,2008-11-30 23:00,朴茨茅,3-2,布莱克本
2044,2008-11-30 21:30,曼城,0-1,曼联
2045,2008-11-29 23:00,维冈,2-1,西布罗姆
2046,2008-11-29 23:00,桑德兰,1-4,博尔顿
2047,2008-11-29 23:00,斯托克,1-1,赫尔城
2048,2008-11-29 23:00,米德尔,0-0,纽卡斯
2049,2008-11-29 23:00,维拉,0-0,富勒姆
2050,2008-12-09 04:00,西汉姆,0-2,热刺
2051,2008-12-07 23:59,埃弗顿,2-3,维拉
2052,2008-12-07 23:00,西布罗姆,1-1,朴茨茅
2053,2008-12-07 01:30,曼联,1-0,桑德兰
2054,2008-12-06 23:00,纽卡斯,2-2,斯托克
2055,2008-12-06 23:00,赫尔城,2-1,米德尔
2056,2008-12-06 23:00,博尔顿,0-2,切尔西
2057,2008-12-06 23:00,布莱克本,1-3,利物浦
2058,2008-12-06 23:00,阿森纳,1-0,维冈
2059,2008-12-06 20:45,富勒姆,1-1,曼城
2060,2008-12-14 23:59,切尔西,1-1,西汉姆
2061,2008-12-14 21:30,朴茨茅,0-3,纽卡斯
2062,2008-12-14 01:30,热刺,0-0,曼联
2063,2008-12-13 23:00,维冈,3-0,布莱克本
2064,2008-12-13 23:00,桑德兰,4-0,西布罗姆
2065,2008-12-13 23:00,斯托克,0-0,富勒姆
2066,2008-12-13 23:00,曼城,0-1,埃弗顿
2067,2008-12-13 23:00,利物浦,2-2,赫尔城
2068,2008-12-13 23:00,维拉,4-2,博尔顿
